filename	ATTRIBUTE_BodySite	ATTRIBUTE_BodyHabitat
Cl.V5.2C2.Blank	Not applicable	UBERON:blank
Cl.V5.2C3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V5.2C4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V5.2C5.C	UBERON:skin of chest	UBERON:skin
Cl.V5.2C6.UB	UBERON:skin of back	UBERON:skin
Cl.V5.2C7.LB	UBERON:skin of back	UBERON:skin
Cl.V6.2C8.Blank	Not applicable	UBERON:blank
Cl.V6.2C9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V6.2C10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V6.2C11.C	UBERON:skin of chest	UBERON:skin
Cl.V6.2C12.UB	UBERON:skin of back	UBERON:skin
Cl.V6.2D1.LB	UBERON:skin of back	UBERON:skin
Cl.V8.2D2.Blank	Not applicable	UBERON:blank
Cl.V8.2D3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V8.2D4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V8.2D5.C	UBERON:skin of chest	UBERON:skin
Cl.V8.2D6.UB	UBERON:skin of back	UBERON:skin
Cl.V8.2D7.LB	UBERON:skin of back	UBERON:skin
Cl.V7.2D8.Blank	Not applicable	UBERON:blank
Cl.V7.2D9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V7.2D10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V7.2D11.C	UBERON:skin of chest	UBERON:skin
Cl.V7.2D12.UB	UBERON:skin of back	UBERON:skin
Cl.V7.2E1.LB	UBERON:skin of back	UBERON:skin
Cl.V9.2E2.Blank	Not applicable	UBERON:blank
Cl.V9.2E3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V9.2E4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V9.2E5.C	UBERON:skin of chest	UBERON:skin
Cl.V9.2E6.UB	UBERON:skin of back	UBERON:skin
Cl.V9.2E7.LB	UBERON:skin of back	UBERON:skin
Cl.V10.2E8.Blank	Not applicable	UBERON:blank
Cl.V10.2E9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V10.2E10.LA	UBERON:skin of armpit	UBERON:skin
